#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND,LIKE
246,Milk & Coffee,NoMBe,3/23/18,91,81,56,-5,73,3:56,0,53,6487,1
247,Call It Off,Skinnydip,4/5/18,122,34,73,-10,37,3:48,15,45,8956,1
248,Black Licorice,Peach Pit,3/6/20,124,54,69,-9,43,3:40,3,62,4358,1
249,Sex n' Drugs,Abhi The Nomad,2/9/18,81,32,83,-8,32,3:38,30,64,667,1
250,Afraid of the Dark,The Frights,2/12/16,167,68,62,-10,61,3:07,1,46,8841,1
251,Halcyon Birds,Broken Back,8/6/15,120,65,72,-9,72,4:34,19,60,6929,1
252,Over My Head,Echosmith,3/15/18,105,72,66,-5,90,3:28,10,54,1960,1
253,Blue Honey,Jimi Charles Moody,11/23/15,133,30,70,-9,24,3:20,63,22,2754,1
254,oblivion,Dafna,2/29/20,90,18,43,-16,6,4:22,97,11,1432,1
255,Warm Animal,Sure Sure,6/27/19,138,38,79,-9,77,3:31,7,61,2985,1
256,Rubble To Rubble,Wilderado,7/28/17,135,45,56,-8,28,3:24,38,53,2797,1
257,Look@Ugo,Mosie,3/14/18,110,39,84,-10,69,4:11,30,45,9076,1
258,valentine,Dafna,2/7/19,120,22,72,-12,4,2:32,93,32,6078,1
259,Lonely Game,Mielo,11/8/19,90,58,55,-7,22,3:53,2,28,1368,1
260,swimming,Dafna,2/29/20,160,22,52,-15,9,2:52,38,8,4718,1
261,do u feel how i feel ?,Dafna,2/29/20,80,24,31,-10,26,3:13,88,14,8289,1
262,the devil's dance,Dafna,5/23/19,116,20,43,-13,5,3:22,89,22,8731,1
263,holy,Dafna,5/23/19,120,50,73,-6,13,3:32,66,18,477,1
264,House of Gold,Twenty One Pilots,1/8/13,115,69,68,-7,85,2:44,45,70,4708,1
265,Sweet Tooth,Cavetown,3/20/20,140,31,57,-13,24,4:06,26,44,2846,1
266,I Miss My Mum,Cavetown,3/20/20,76,30,65,-14,35,2:57,48,58,8586,1
267,Puppy Dog,Dreamer Boy,12/10/19,114,55,69,-8,51,3:30,17,57,8925,1
268,I'm Just Snacking,Gus Dapperton,5/17/17,128,48,62,-7,38,3:18,14,63,5469,1
269,Murky Green,The Verticals,2015,150,72,49,-9,56,3:55,2,3,4011,1
270,Spiders,The Verticals,2015,82,70,30,-6,60,2:54,11,0,9443,1
271,Break My Heart,Dua Lipa,3/25/20,113,73,73,-3,47,3:42,17,83,5115,1
272,Things That Make It Warm,Cavetown,11/1/19,120,16,72,-17,51,3:06,64,57,5803,1
273,Are You Bored Yet? (feat. Clairo),Wallows,3/22/19,120,68,68,-6,64,2:58,16,79,7306,1
274,Cringe,Matt Maeson,4/5/19,126,47,73,-8,44,3:36,7,65,7532,1
275,Golden,Harry Styles,12/13/19,140,84,45,-5,25,3:29,21,79,9688,1
276,Untitled,Kate Bollinger,5/21/19,79,51,73,-10,68,3:00,36,50,2526,1
277,I Don't Wanna Lose,Kate Bollinger,6/21/19,142,46,50,-11,33,3:21,34,54,1955,1
278,Hallucinogenics,Matt Maeson,4/5/19,121,65,55,-7,29,3:07,46,67,1135,1
279,I Just Don't Care That Much,Matt Maeson,4/5/19,120,72,82,-4,62,3:26,9,55,5470,1
280,Cringe - Stripped,Matt Maeson,10/18/19,126,28,75,-9,28,3:43,88,58,7944,1
281,Put It On Me,Matt Maeson,4/27/18,82,41,63,-6,42,3:23,1,61,3460,1
282,ANIMAL CROSSING,Shawn Wasabi,3/20/20,103,87,77,-4,50,2:40,4,54,7233,1
283,Heavy,POWERS,2/24/17,102,69,74,-4,90,3:54,1,55,4229,1
284,bad idea!,girl in red,9/3/19,162,81,51,-6,41,3:40,3,68,6280,1
75,All The Small Things,blink-182,6/1/99,149,90,43,-5,68,2:47,1,78,328,0
130,Vidual,King Krule,10/13/17,100,96,58,-4,88,2:20,3,37,6472,0
141,I Miss Having Sex But At Least I Don't Wanna Die Anymore,Waterparks,10/11/19,148,83,61,-4,86,2:13,8,67,1635,0
104,Drift Away,Uncle Kracker,7/9/02,152,66,58,-5,86,4:16,18,69,6397,0
16,Black Skinhead,Kanye West,1/1/13,130,82,77,-6,30,3:08,0,74,7211,0
20,The New Workout Plan,Kanye West,2/13/04,118,77,70,-5,62,5:23,1,3,1767,0
52,Pillow Talking (feat. Brain),Lil Dicky,7/31/15,105,36,92,-8,42,10:46,57,62,2356,0
82,iSpy (feat. Lil Yachty),KYLE,12/2/16,75,65,75,-7,67,4:13,38,76,6351,0
